epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.3683,1.43104,0.71921,1.28251,0.87626,0.82689,0.90376,0.54296,1.41361,0.7669,1.42293,0.000663854,0.000663854,0.000663854
2,136.566,1.31517,0.67375,1.23055,0.87154,0.83984,0.90323,0.52581,1.44927,0.77401,1.44001,0.0013117,0.0013117,0.0013117
3,200.229,1.29654,0.66724,1.21999,0.85827,0.84331,0.89821,0.54282,1.36978,0.77012,1.40108,0.0019407,0.0019407,0.0019407
4,269.913,1.317,0.67501,1.2283,0.8559,0.84438,0.89177,0.49553,1.49247,0.79767,1.49735,0.00191514,0.00191514,0.00191514
5,340.044,1.29134,0.66589,1.22221,0.83062,0.81572,0.87327,0.51615,1.41605,0.82444,1.44355,0.00188686,0.00188686,0.00188686
6,404.048,1.27845,0.66055,1.21474,0.86473,0.87621,0.90528,0.54705,1.33794,0.74086,1.40566,0.00185857,0.00185857,0.00185857
7,473.836,1.26387,0.65133,1.20819,0.88864,0.85662,0.90765,0.54032,1.42696,0.76651,1.4438,0.00183029,0.00183029,0.00183029
8,544.83,1.27083,0.65281,1.20732,0.86549,0.85397,0.89303,0.54214,1.31199,0.78208,1.37975,0.001802,0.001802,0.001802
9,609.453,1.2606,0.65036,1.20489,0.8499,0.82689,0.8817,0.50429,1.46923,0.82444,1.44579,0.00177371,0.00177371,0.00177371
10,671.464,1.25324,0.63838,1.19866,0.88733,0.85783,0.90017,0.54506,1.33533,0.73118,1.41217,0.00174543,0.00174543,0.00174543
11,732.996,1.25141,0.63753,1.19861,0.84011,0.75048,0.84741,0.48257,1.44791,0.92386,1.42985,0.00171714,0.00171714,0.00171714
12,803.283,1.24141,0.63296,1.19207,0.87183,0.83172,0.89517,0.52781,1.40438,0.80497,1.41941,0.00168886,0.00168886,0.00168886
13,873.139,1.23808,0.63182,1.19696,0.87356,0.8559,0.90666,0.55894,1.29814,0.70492,1.39654,0.00166057,0.00166057,0.00166057
14,942.833,1.2378,0.63019,1.19647,0.87901,0.83609,0.90445,0.55819,1.309,0.73526,1.38536,0.00163229,0.00163229,0.00163229
15,1006.92,1.2322,0.62937,1.19091,0.87634,0.853,0.91059,0.55138,1.3405,0.74638,1.40096,0.001604,0.001604,0.001604
16,1075.83,1.22401,0.62252,1.18917,0.8708,0.8617,0.90477,0.55077,1.34681,0.74387,1.39293,0.00157571,0.00157571,0.00157571
17,1146.88,1.21792,0.6171,1.18584,0.89397,0.83984,0.90489,0.55882,1.33156,0.73396,1.41045,0.00154743,0.00154743,0.00154743
18,1210.49,1.20767,0.62055,1.17938,0.84487,0.83746,0.88051,0.52995,1.33264,0.81636,1.37404,0.00151914,0.00151914,0.00151914
19,1274.43,1.21215,0.61358,1.18346,0.89502,0.8588,0.90873,0.55982,1.32247,0.72432,1.38259,0.00149086,0.00149086,0.00149086
20,1336.8,1.20179,0.61348,1.17993,0.87898,0.86267,0.90622,0.54273,1.35377,0.74401,1.40822,0.00146257,0.00146257,0.00146257
21,1406.5,1.21402,0.61614,1.18349,0.88365,0.84043,0.89876,0.54342,1.34944,0.72891,1.40585,0.00143429,0.00143429,0.00143429
22,1476.33,1.20367,0.60967,1.1778,0.88289,0.853,0.90972,0.53269,1.37069,0.74982,1.40827,0.001406,0.001406,0.001406
23,1540.18,1.19429,0.60071,1.17215,0.87965,0.86945,0.91301,0.56611,1.29321,0.70967,1.38202,0.00137771,0.00137771,0.00137771
24,1611.49,1.1882,0.60557,1.17067,0.86292,0.87524,0.9078,0.55206,1.29942,0.73611,1.3821,0.00134943,0.00134943,0.00134943
25,1682.38,1.19088,0.60616,1.17395,0.89723,0.86962,0.91828,0.5708,1.27928,0.68465,1.38018,0.00132114,0.00132114,0.00132114
26,1746.35,1.1819,0.59761,1.16792,0.88196,0.86847,0.9154,0.5668,1.2891,0.69896,1.38463,0.00129286,0.00129286,0.00129286
27,1816.93,1.18657,0.59926,1.17253,0.8843,0.85687,0.91299,0.57063,1.27618,0.69276,1.37747,0.00126457,0.00126457,0.00126457
28,1887.09,1.18675,0.60361,1.17186,0.86889,0.83964,0.90544,0.53972,1.38535,0.74744,1.40425,0.00123629,0.00123629,0.00123629
29,1958.44,1.18036,0.59538,1.17161,0.86905,0.8675,0.9078,0.54203,1.34515,0.73245,1.40057,0.001208,0.001208,0.001208
30,2023.65,1.17113,0.58722,1.16343,0.88396,0.8646,0.90692,0.56402,1.28797,0.6926,1.37651,0.00117971,0.00117971,0.00117971
31,2094.34,1.1694,0.59131,1.16144,0.86423,0.85567,0.90798,0.55836,1.28297,0.71405,1.36704,0.00115143,0.00115143,0.00115143
32,2165.45,1.1626,0.58623,1.15978,0.89236,0.84985,0.91315,0.56626,1.28259,0.69639,1.36461,0.00112314,0.00112314,0.00112314
33,2239.56,1.16988,0.58955,1.16075,0.87451,0.8675,0.91336,0.5686,1.27437,0.69871,1.37485,0.00109486,0.00109486,0.00109486
34,2314.4,1.1605,0.58365,1.16079,0.89329,0.86629,0.91468,0.57235,1.26899,0.67765,1.37731,0.00106657,0.00106657,0.00106657
35,2381.01,1.1584,0.58869,1.16076,0.8778,0.8646,0.91368,0.56899,1.26819,0.71202,1.37252,0.00103829,0.00103829,0.00103829
36,2451.25,1.15313,0.58218,1.15632,0.89314,0.86495,0.91535,0.57083,1.29725,0.69026,1.39036,0.00101,0.00101,0.00101
37,2523.83,1.15122,0.58469,1.15514,0.88834,0.85397,0.90307,0.56376,1.2753,0.71131,1.36752,0.000981714,0.000981714,0.000981714
38,2594.31,1.14906,0.5766,1.15082,0.88538,0.88685,0.91556,0.56207,1.28653,0.70365,1.37516,0.000953429,0.000953429,0.000953429
39,2667.54,1.13635,0.57356,1.14723,0.88918,0.8559,0.90732,0.56505,1.28702,0.69402,1.38173,0.000925143,0.000925143,0.000925143
