epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.2872,1.83098,1.3896,1.44881,0.80774,0.84255,0.88566,0.41197,1.66876,1.21069,1.26051,0.000664083,0.000664083,0.000664083
2,95.6629,1.7017,0.96248,1.36169,0.77275,0.8,0.78257,0.3423,2.04591,1.07379,1.43815,0.00131428,0.00131428,0.00131428
3,142.651,1.67589,0.86934,1.36274,0.8868,0.78496,0.89549,0.44987,1.75794,0.92904,1.30974,0.00194798,0.00194798,0.00194798
4,188.442,1.62743,0.81626,1.34093,1,0.77042,0.93667,0.38978,1.95908,0.83623,1.46167,0.00192575,0.00192575,0.00192575
5,235.806,1.60111,0.78018,1.3233,0.65992,0.77773,0.7707,0.32389,2.09384,1.32782,1.50835,0.001901,0.001901,0.001901
6,282.929,1.57811,0.7573,1.31611,0.98974,0.8,0.93045,0.43897,1.85592,0.80267,1.34692,0.00187625,0.00187625,0.00187625
7,329.988,1.54599,0.72841,1.2925,0.65558,0.8,0.79763,0.33001,1.90985,0.96441,1.38914,0.0018515,0.0018515,0.0018515
8,376.276,1.53945,0.71913,1.29146,0.81278,0.87031,0.9253,0.47016,1.75895,0.89482,1.32848,0.00182675,0.00182675,0.00182675
9,423.696,1.50343,0.69857,1.27216,0.90794,0.98733,0.95864,0.43051,2.00106,0.83006,1.41983,0.001802,0.001802,0.001802
10,470.683,1.50505,0.69554,1.27459,0.8722,0.8,0.92673,0.39781,1.82743,0.8605,1.33874,0.00177725,0.00177725,0.00177725
11,517.619,1.47988,0.68308,1.26138,0.76799,0.9,0.91746,0.39881,1.85773,0.73864,1.41669,0.0017525,0.0017525,0.0017525
12,563.647,1.4574,0.67014,1.24931,0.54337,0.5,0.54841,0.27109,2.18881,1.19585,1.65092,0.00172775,0.00172775,0.00172775
13,611.185,1.45346,0.66723,1.24881,1,0.8743,0.96643,0.41434,2.02708,0.7983,1.34035,0.001703,0.001703,0.001703
14,658.733,1.43021,0.65259,1.23724,1,0.96588,0.995,0.4731,1.84003,0.74371,1.34482,0.00167825,0.00167825,0.00167825
15,705.741,1.4199,0.65224,1.23247,0.69135,0.7,0.8006,0.37873,1.98343,1.15742,1.35562,0.0016535,0.0016535,0.0016535
16,753.23,1.4109,0.64435,1.22505,0.80271,0.9,0.88052,0.42669,1.89703,0.76503,1.37745,0.00162875,0.00162875,0.00162875
17,801.171,1.40229,0.63304,1.22115,0.89108,0.81973,0.95167,0.45877,1.79211,0.70452,1.34147,0.001604,0.001604,0.001604
18,847.921,1.38335,0.62212,1.21223,0.81292,0.87107,0.93714,0.4119,1.88259,0.83771,1.39175,0.00157925,0.00157925,0.00157925
19,895.03,1.37125,0.61663,1.20846,0.79615,0.78267,0.88234,0.38838,1.83136,0.99513,1.43188,0.0015545,0.0015545,0.0015545
20,942.043,1.37797,0.62159,1.20895,0.80786,1,0.96833,0.49517,1.80416,0.66033,1.31973,0.00152975,0.00152975,0.00152975
21,989.483,1.36789,0.61634,1.20589,0.53496,0.9,0.80395,0.33912,1.97221,0.89551,1.39994,0.001505,0.001505,0.001505
22,1036.53,1.35869,0.60584,1.20042,0.60654,0.8,0.76198,0.38839,2.01282,0.78559,1.46985,0.00148025,0.00148025,0.00148025
23,1082.72,1.34662,0.60499,1.19492,1,0.68704,0.88607,0.4573,1.71578,0.79204,1.26921,0.0014555,0.0014555,0.0014555
24,1129.65,1.35036,0.60585,1.19773,0.9072,0.97917,0.96773,0.43515,1.86132,0.71226,1.34934,0.00143075,0.00143075,0.00143075
